Latitude,Longitude,Fossil_Name,Early_Age,Late_Age,Environment,Country_Code
46.950001,22.400000,Owenodon,145.0,139.8,karst indet.,RO
46.950001,22.400000,Theropoda,145.0,139.8,karst indet.,RO
46.950001,22.400000,Ankylosauria,145.0,139.8,karst indet.,RO
46.950001,22.400000,Dryosauridae,145.0,139.8,karst indet.,RO
46.950001,22.400000,Iguanodontia,145.0,139.8,karst indet.,RO
40.950001,140.433334,Dinosauria,113.0,109.9,delta plain,JP
50.742214,-111.565781,Styracosaurus albertensis,83.6,72.1,"""channel""",CA
50.730000,-111.800003,Centrosaurus apertus,83.6,72.1,terrestrial indet.,CA
39.653423,-105.187332,Apatosaurus louisae,154.8,145.0,"""channel""",US
43.498878,-5.249015,Dinosauria,154.8,149.2,marginal marine indet.,ES
43.468056,-5.076468,Hispanosauropus hauboldi,154.8,149.2,marine indet.,ES
43.498878,-5.249015,Hispanosauropus hauboldi,154.8,149.2,marginal marine indet.,ES
-22.600000,143.000000,Dinosauria,106.2,89.8,terrestrial indet.,AU
43.720554,99.926941,Macroolithus rugustus,72.1,66.0,terrestrial indet.,MN
47.591900,84.004700,Macroolithus rugustus,72.1,66.0,fluvial indet.,KZ
43.938889,101.331947,Spheroolithus,100.5,83.6,terrestrial indet.,MN
45.099998,110.416664,Dinosauria,100.5,66.0,terrestrial indet.,MN
42.152302,-105.916199,Diplodocus carnegii,154.8,145.0,pond,US
32.016666,36.033333,Ornithopoda,72.1,66.0,shallow subtidal indet.,JO
-38.953888,-68.234169,Patagopteryx deferrariisi,86.3,83.6,fluvial-deltaic indet.,AR
-38.953888,-68.234169,Neuquenornis volans,86.3,83.6,fluvial-deltaic indet.,AR
36.145279,-110.320000,Dilophosaurus wetherilli,199.5,184.2,terrestrial indet.,US
36.099998,-110.300003,Dilophosaurus wetherilli,199.5,184.2,terrestrial indet.,US
43.938889,101.331947,Graciliceratops mongoliensis,100.5,83.6,terrestrial indet.,MN
43.938889,101.331947,Ankylosauridae,100.5,83.6,terrestrial indet.,MN
43.938889,101.331947,Ornithomimidae,100.5,83.6,terrestrial indet.,MN
43.938889,101.331947,Theropoda,100.5,83.6,terrestrial indet.,MN
43.938889,101.331947,Hadrosauridae,100.5,83.6,terrestrial indet.,MN
43.487499,101.125000,Ankylosauridae,83.6,72.1,eolian indet.,MN
43.250000,99.750000,Bagaceratops rozhdestvenskyi,83.6,72.1,eolian indet.,MN
43.487499,101.125000,Gobipteryx minuta,83.6,72.1,eolian indet.,MN
43.487499,101.125000,Dendroolithus,83.6,72.1,eolian indet.,MN
38.799999,-111.169998,Eolambia caroljonesa,100.5,93.9,terrestrial indet.,US
-37.883331,-68.516670,Megaloolithus jabalpurensis,83.6,72.1,crevasse splay,AR
43.349400,-104.482002,Ceratopsidae,72.1,66.0,"""channel""",US
43.349400,-104.482002,Hadrosauridae,72.1,66.0,"""channel""",US
43.349400,-104.482002,Saurischia,72.1,66.0,"""channel""",US
43.349400,-104.482002,Pachycephalosauridae,72.1,66.0,"""channel""",US
50.815014,-111.324570,Ceratopsidae,83.6,72.1,channel lag,CA
50.466667,3.633333,Iguanodon bernissartensis,125.77,119.5,lacustrine - small,BE
42.017776,-106.048615,Diplodocus longus,154.8,145.0,coarse channel fill,US
42.017776,-106.048615,Camarasaurus,154.8,145.0,coarse channel fill,US
42.017776,-106.048615,Stegosaurus stenops,154.8,145.0,coarse channel fill,US
42.017776,-106.048615,Brontosaurus excelsus,154.8,145.0,coarse channel fill,US
42.017776,-106.048615,Allosaurus fragilis,154.8,145.0,coarse channel fill,US
43.380001,-108.120003,Diplodocidae,152.2,149.2,wet floodplain,US
43.380001,-108.120003,Apatosaurinae,152.2,149.2,wet floodplain,US
43.380001,-108.120003,Camarasaurus lentus,152.2,149.2,wet floodplain,US
48.630001,-113.750000,Prosaurolophus maximus,83.6,72.1,crevasse splay,US
48.630001,-113.750000,Saurischia,83.6,72.1,crevasse splay,US
48.633301,-113.750000,Maiasaura peeblesorum,83.6,72.1,"""floodplain""",US
48.633301,-113.750000,Orodromeus makelai,83.6,72.1,"""floodplain""",US
48.633301,-113.750000,Theropoda,83.6,72.1,"""floodplain""",US
50.728848,-111.525871,Hadrosauridae,83.6,72.1,"""channel""",CA
50.728848,-111.525871,Tyrannosauridae,83.6,72.1,"""channel""",CA
50.728848,-111.525871,Ornithomimidae,83.6,72.1,"""channel""",CA
50.728848,-111.525871,Nodosaurus,83.6,72.1,"""channel""",CA
50.728848,-111.525871,Ornithischia,83.6,72.1,"""channel""",CA
50.734207,-111.513893,Hadrosauridae,83.6,72.1,"""channel""",CA
50.734207,-111.513893,Chasmosaurus,83.6,72.1,"""channel""",CA
50.727234,-111.524582,Hadrosauridae,83.6,72.1,channel lag,CA
50.727234,-111.524582,Tyrannosaurus rex,83.6,72.1,channel lag,CA
50.727234,-111.524582,Centrosaurus apertus,83.6,72.1,channel lag,CA
50.727234,-111.524582,Velociraptor,83.6,72.1,channel lag,CA
50.727234,-111.524582,Nodosauridae,83.6,72.1,channel lag,CA
50.750553,-111.484657,Chasmosaurus,83.6,72.1,channel lag,CA
50.750553,-111.484657,Gorgosaurus libratus,83.6,72.1,channel lag,CA
50.750553,-111.484657,Tyrannosauridae,83.6,72.1,channel lag,CA
-16.216667,30.100000,Megapnosaurus rhodesiensis,201.4,192.9,fluvial indet.,ZW
19.106924,79.845581,Kotasaurus yamanpalliensis,199.5,184.2,coarse channel fill,IN
43.630001,-108.199997,Diplodocus,152.2,145.0,crevasse splay,US
43.630001,-108.199997,Camarasaurus,152.2,145.0,crevasse splay,US
43.630001,-108.199997,Stegosaurus,152.2,145.0,crevasse splay,US
43.630001,-108.199997,Allosaurus,152.2,145.0,crevasse splay,US
43.630001,-108.199997,Camptosaurus,152.2,145.0,crevasse splay,US
43.630001,-108.199997,Barosaurus,152.2,145.0,crevasse splay,US
47.500000,8.016667,Plateosaurus trossingensis,227.0,208.5,"""floodplain""",CH
47.500000,8.016667,Liliensternus,227.0,208.5,"""floodplain""",CH
48.066669,8.650000,Plateosaurus trossingensis,227.0,208.5,"""floodplain""",DE
48.066669,8.650000,Liliensternus,227.0,208.5,"""floodplain""",DE
51.897499,11.073611,Prosauropoda,208.5,201.4,"""floodplain""",DE
51.897499,11.073611,Liliensternus,208.5,201.4,"""floodplain""",DE
44.250000,103.333336,Velociraptor mongoliensis,83.6,72.1,dune,MN
44.250000,103.333336,Protoceratops andrewsi,83.6,72.1,dune,MN
50.070000,1.250000,Hypsilophodon foxii,125.77,121.4,lagoonal,UK
48.633301,-113.750000,Prosaurolophus maximus,83.6,72.1,lacustrine indet.,US
48.633301,-113.750000,Hypacrosaurus stebingeri,83.6,72.1,lacustrine indet.,US
48.633301,-113.750000,Gryposaurus,83.6,72.1,lacustrine indet.,US
48.633301,-113.750000,Troodon formosus,83.6,72.1,lacustrine indet.,US
48.633301,-113.750000,Daspletosaurus horneri,83.6,72.1,lacustrine indet.,US
48.479202,-112.701118,Theropoda,83.6,72.1,fluvial indet.,US
48.479202,-112.701118,Maiasaura peeblesorum,83.6,72.1,fluvial indet.,US
48.910831,-112.640831,Theropoda,83.6,72.1,"""floodplain""",US
48.910831,-112.640831,Ankylosauridae,83.6,72.1,"""floodplain""",US
48.966599,-112.650002,Theropoda,83.6,72.1,lacustrine - small,US
50.754803,-111.398720,Hadrosauridae,83.6,72.1,channel lag,CA
50.781303,-111.325546,Hadrosauridae,83.6,72.1,channel lag,CA
55.063900,-119.108101,Pachyrhinosaurus lakustai,83.6,72.1,crevasse splay,CA
50.956112,-0.116389,Ornithischia,132.6,125.77,levee,UK
29.138056,-103.196945,Theropoda,83.6,72.1,fine channel fill,US
29.138056,-103.196945,Saurolophinae,83.6,72.1,fine channel fill,US
29.138056,-103.196945,Carnosauria,83.6,72.1,fine channel fill,US
40.423611,-109.205833,Allosaurus,149.2,145.0,crevasse splay,US
40.423611,-109.205833,Diplodocus,149.2,145.0,crevasse splay,US
40.423611,-109.205833,Stegosaurus,149.2,145.0,crevasse splay,US
40.423611,-109.205833,Dryosaurus,149.2,145.0,crevasse splay,US
40.423611,-109.205833,Camptosaurus,149.2,145.0,crevasse splay,US
31.972200,-98.476303,Convolosaurus marri,119.5,113.0,"""floodplain""",US
31.972200,-98.476303,Dromaeosaurinae,119.5,113.0,"""floodplain""",US
35.197208,-107.132790,Saurischia,154.8,145.0,coarse channel fill,US
35.197208,-107.132790,Allosauridae,154.8,145.0,coarse channel fill,US
35.197208,-107.132790,Diplodocidae,154.8,145.0,coarse channel fill,US
51.434166,8.632222,Iguanodon bernissartensis,125.77,119.5,sinkhole,DE
51.434166,8.632222,Mantellisaurus atherfieldensis,125.77,119.5,sinkhole,DE
51.434166,8.632222,Iguanodon bernissartensis,125.77,119.5,sinkhole,DE
53.480598,-102.240944,Hesperornithiformes,100.5,93.9,coastal indet.,CA
50.736092,-111.494217,Styracosaurus albertensis,83.6,72.1,channel lag,CA
50.750553,-111.484657,Centrosaurus apertus,83.6,72.1,channel lag,CA
40.441387,-109.300552,Diplodocus longus,149.2,146.3,coarse channel fill,US
40.441387,-109.300552,Apatosaurus,149.2,146.3,coarse channel fill,US
40.441387,-109.300552,Camarasaurus,149.2,146.3,coarse channel fill,US
40.441387,-109.300552,Stegosaurus,149.2,146.3,coarse channel fill,US
48.066669,8.650000,Prosauropoda,208.5,201.4,"""floodplain""",DE
48.633301,-113.750000,Hypacrosaurus stebingeri,83.6,72.1,fluvial indet.,US
48.910831,-112.640831,Prosaurolophus maximus,83.6,72.1,"""floodplain""",US
48.966599,-112.650002,Einiosaurus procurvicornis,83.6,72.1,lacustrine - small,US
48.966599,-112.650002,Hadrosauridae,83.6,72.1,lacustrine - small,US
48.966599,-112.650002,Einiosaurus procurvicornis,83.6,72.1,lacustrine - small,US
32.172100,-101.247002,Theropoda,237.0,208.5,crevasse splay,US
29.138056,-103.196945,Agujaceratops mariscalensis,83.6,72.1,fine channel fill,US
43.116329,-104.637001,Potamornis skutchi,72.1,66.0,terrestrial indet.,US
34.164001,-95.820000,Sauroposeidon proteles,121.4,100.5,fluvial indet.,US
46.465099,-109.297203,Dromaeosaurus albertensis,83.6,72.1,levee,US
46.465099,-109.297203,Saurornitholestes langstoni,83.6,72.1,levee,US
46.465099,-109.297203,Troodon formosus,83.6,72.1,levee,US
46.465099,-109.297203,Richardoestesia gilmorei,83.6,72.1,levee,US
46.465099,-109.297203,Theropoda,83.6,72.1,levee,US
46.459999,-109.410004,Dromaeosaurus albertensis,83.6,72.1,"""channel""",US
46.459999,-109.410004,Saurornitholestes langstoni,83.6,72.1,"""channel""",US
46.459999,-109.410004,Troodon formosus,83.6,72.1,"""channel""",US
46.459999,-109.410004,Richardoestesia gilmorei,83.6,72.1,"""channel""",US
46.459999,-109.410004,Theropoda,83.6,72.1,"""channel""",US
46.459999,-109.410004,Avaceratops lammersi,83.6,72.1,"""channel""",US
26.116667,-101.116669,Hadrosaurinae,83.6,72.1,fluvial-deltaic indet.,MX
26.116667,-101.116669,Troodontidae,83.6,72.1,fluvial-deltaic indet.,MX
26.116667,-101.116669,Theropoda,83.6,72.1,fluvial-deltaic indet.,MX
25.470833,-101.699997,Latirhinus uitstlani,83.6,72.1,terrestrial indet.,MX
25.470833,-101.699997,Theropoda,83.6,72.1,terrestrial indet.,MX
25.466667,-101.416664,Hadrosaurinae,83.6,72.1,terrestrial indet.,MX
25.466667,-101.416664,Theropoda,83.6,72.1,terrestrial indet.,MX
25.505556,-101.343887,Hadrosaurinae,83.6,72.1,terrestrial indet.,MX
25.505556,-101.343887,Theropoda,83.6,72.1,terrestrial indet.,MX
25.500000,-101.400276,Saurolophinae,83.6,72.1,terrestrial indet.,MX
25.500000,-101.400276,Theropoda,83.6,72.1,terrestrial indet.,MX
47.675835,-106.427223,Alvarezsauridae,72.1,66.0,coarse channel fill,US
47.675835,-106.427223,Tyrannosauridae,72.1,66.0,coarse channel fill,US
47.675835,-106.427223,Coelurosauria,72.1,66.0,coarse channel fill,US
47.675835,-106.427223,Edmontosaurus annectens,72.1,66.0,coarse channel fill,US
47.675835,-106.427223,Ceratopsidae,72.1,66.0,coarse channel fill,US
47.675835,-106.427223,Ankylosauridae,72.1,66.0,coarse channel fill,US
44.200001,103.733330,Dinosauria,83.6,72.1,terrestrial indet.,MN
44.200001,103.733330,Macroolithus yaotunensis,83.6,72.1,terrestrial indet.,MN
36.890354,120.663673,Ovaloolithus chinkangkouensis,83.6,72.1,terrestrial indet.,CN
44.685757,90.068756,Elongatoolithus andrewsi,83.6,66.0,terrestrial indet.,CN
45.135834,-102.497498,Edmontosaurus annectens,72.1,66.0,terrestrial indet.,US
46.437599,-1.670200,Eubrontes giganteus,208.5,201.4,estuary/bay,FR
46.437599,-1.670200,Grallator variabilis,208.5,201.4,estuary/bay,FR
35.907986,136.761887,Iguanodontipodidae,125.77,121.4,fluvial indet.,JP
35.883331,136.766663,Iguanodontipodidae,125.77,121.4,lacustrine indet.,JP
35.948002,136.710999,Dinosauria,132.6,125.77,lacustrine indet.,JP
43.816666,144.483337,Aquatilavipes izumiensis,125.77,121.4,lacustrine indet.,JP
40.299999,-74.300003,Dryptosaurus,83.6,72.1,estuary/bay,US
